Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID, Salary ,Termd,PositionID,Position_,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billis,Helen",10003,1,1,0,1,5,4,0,"62,910",0,19,ProductionTechnicianI,MA,2031,9/1/89,F,Married,USCitizen,No,White,7/7/14,,N/A-StillEmployed,Active,Production       ,BrannonMiller,12,Indeed,Exceeds,5,3,0,2/27/19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blount,Dianna",10294,0,0,0,1,5,2,0,"66,441",0,20,ProductionTechnicianII,MA,2171,9/21/90,F,Single,USCitizen,No,White,4/4/11,,N/A-StillEmployed,Active,Production       ,MichaelAlbert,22,CareerBuilder,NeedsImprovement,2,3,0,2/27/19,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bondwell,Betsy",10267,0,0,0,5,5,3,0,"57,815",1,20,ProductionTechnicianII,MA,2210,1/16/67,F,Single,USCitizen,No,White,1/10/11,4/4/14,careerchange,VoluntarilyTerminated,Production       ,ElijiahGray,16,GoogleSearch,FullyMeets,4.8,5,0,3/4/14,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Booth,Frank",10199,0,0,1,4,3,3,0,"103,613",1,30,EnterpriseArchitect,CT,6033,7/30/64,M ,Single,USCitizen,No,BlackorAfricanAmerican,2/17/14,2/19/16,Learnedthatheisagangster,TerminatedforCause,IT/IS,SimonRoup,4,LinkedIn,FullyMeets,3.5,5,7,1/10/16,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boutwell,Bonalyn",10081,1,1,0,1,1,3,1,"106,367",0,26,Sr.Accountant,MA,2468,4/4/87,F,Married,USCitizen,No,BlackorAfricanAmerican,2/16/15,,N/A-StillEmployed,Active,Admin Offices,BrandonR.LeBlanc,3,DiversityJobFair,FullyMeets,5,4,3,2/18/19,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bozzi,Charles",10175,0,0,1,5,5,3,0,"74,312",1,18,ProductionManager,MA,1901,3/10/70,M ,Single,USCitizen,No,Asian,9/30/13,8/7/14,retiring,VoluntarilyTerminated,Production       ,JanetKing,2,Indeed,FullyMeets,3.39,3,0,2/20/14,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brill,Donna",10177,1,1,0,5,5,3,0,"53,492",1,19,ProductionTechnicianI,MA,1701,8/24/90,F,Married,USCitizen,No,White,4/2/12,6/15/13,Anotherposition,VoluntarilyTerminated,Production       ,DavidStanley,14,GoogleSearch,FullyMeets,3.35,4,0,3/4/13,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown,Mia",10238,1,1,0,1,1,3,1,"63,000",0,1,AccountantI,MA,1450,11/24/87,F,Married,USCitizen,No,BlackorAfricanAmerican,10/27/08,,N/A-StillEmployed,Active,Admin Offices,BrandonR.LeBlanc,1,DiversityJobFair,FullyMeets,4.5,2,6,1/15/19,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buccheri,Joseph",10184,0,0,1,1,5,3,0,"65,288",0,20,ProductionTechnicianII,MA,1013,7/28/83,M ,Single,USCitizen,No,White,9/29/14,,N/A-StillEmployed,Active,Production       ,WebsterButler,,GoogleSearch,FullyMeets,3.19,3,0,2/1/19,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bugali,Josephine",10203,0,3,0,3,5,3,1,"64,375",0,19,ProductionTechnicianI,MA,2043,10/30/69,F,Separated,USCitizen,No,BlackorAfricanAmerican,11/11/13,,N/A-StillEmployed,Active,Production       ,KissySullivan,20,DiversityJobFair,FullyMeets,3.5,5,0,1/21/19,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bunbury,Jessica",10188,1,1,0,5,6,3,0,"74,326",1,3,AreaSalesManager,VA,21851,6/1/64,F,Married,EligibleNonCitizen,No,BlackorAfricanAmerican,8/15/11,8/2/14,Anotherposition,VoluntarilyTerminated,Sales,JohnSmith,17,GoogleSearch,FullyMeets,3.14,5,0,2/10/13,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burke,Joelle",10107,0,0,0,1,5,3,0,"63,763",0,20,ProductionTechnicianII,MA,2148,3/2/80,F,Single,USCitizen,No,BlackorAfricanAmerican,3/5/12,,N/A-StillEmployed,Active,Production       ,AmyDunn,11,EmployeeReferral,FullyMeets,4.51,4,0,2/21/19,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burkett,Benjamin",10181,1,1,1,1,5,3,0,"62,162",0,20,ProductionTechnicianII,MA,1890,8/19/77,M ,Married,USCitizen,No,White,4/4/11,,N/A-StillEmployed,Active,Production       ,KetsiaLiebig,19,Indeed,FullyMeets,3.25,5,0,1/14/19,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cady,Max",10150,0,0,1,1,4,3,0,"77,692",0,25,SoftwareEngineeringManager,MA,2184,11/22/66,M ,Single,USCitizen,No,White,8/15/11,,N/A-StillEmployed,Active,Software Engineering,JenniferZamora,5,GoogleSearch,FullyMeets,3.84,3,5,1/21/19,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Candie,Calvin",10001,0,0,1,1,5,4,0,"72,640",0,18,ProductionManager,MA,2169,8/9/83,M ,Single,USCitizen,No,White,1/28/16,,N/A-StillEmployed,Active,Production       ,JanetKing,2,Indeed,Exceeds,5,3,0,2/22/19,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carabbio,Judith",10085,0,0,0,1,4,3,0,"93,396",0,24,SoftwareEngineer,MA,2132,4/5/87,F,Single,USCitizen,No,White,11/11/13,,N/A-StillEmployed,Active,Software Engineering,AlexSweetwater,10,Indeed,FullyMeets,4.96,4,6,1/30/19,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carey,Michael",10115,0,0,1,1,5,3,0,"52,846",0,19,ProductionTechnicianI,MA,1701,2/2/83,M ,Single,USCitizen,No,BlackorAfricanAmerican,3/31/14,,N/A-StillEmployed,Active,Production       ,KelleySpirea,18,LinkedIn,FullyMeets,4.43,3,0,2/1/19,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carr,ClaudiaN",10082,0,0,0,2,3,3,0,"100,031",0,27,Sr.DBA,MA,1886,6/6/86,F,Single,USCitizen,No,BlackorAfricanAmerican,6/30/16,,N/A-StillEmployed,Active,IT/IS,SimonRoup,4,LinkedIn,FullyMeets,5,5,6,2/18/19,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carter,Michelle",10040,0,0,0,1,6,3,0,"71,860",0,3,AreaSalesManager,VT,5664,5/15/63,F,Single,USCitizen,No,White,8/18/14,,N/A-StillEmployed,Active,Sales,JohnSmith,17,Indeed,FullyMeets,5,5,0,1/21/19,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chace,Beatrice",10067,0,0,0,1,5,3,0,"61,656",0,19,ProductionTechnicianI,MA,2763,1/2/51,F,Single,USCitizen,No,White,9/29/14,,N/A-StillEmployed,Active,Production       ,MichaelAlbert,22,GoogleSearch,FullyMeets,5,4,0,2/12/19,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champaigne,Brian",10108,1,1,1,1,3,3,0,"110,929",0,5,BIDirector,MA,2045,2/9/72,M ,Married,USCitizen,No,White,9/6/16,,N/A-StillEmployed,Active,IT/IS,JenniferZamora,5,Indeed,FullyMeets,4.5,5,7,1/15/19,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chan,Lin",10210,0,0,0,1,5,3,0,"54,237",0,19,ProductionTechnicianI,MA,2170,2/12/79,F,Single,USCitizen,No,White,5/12/14,,N/A-StillEmployed,Active,Production       ,ElijiahGray,16,Indeed,FullyMeets,3.3,4,0,2/19/19,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang,DonovanE",10154,0,0,1,1,5,3,0,"60,380",0,19,ProductionTechnicianI,MA,1845,8/24/83,M ,Single,USCitizen,No,White,7/8/13,,N/A-StillEmployed,Active,Production       ,WebsterButler,,LinkedIn,FullyMeets,3.8,5,0,1/14/19,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chigurh,Anton",10200,0,0,1,1,6,3,0,"66,808",0,3,AreaSalesManager,TX,78207,6/11/70,M ,Single,EligibleNonCitizen,No,BlackorAfricanAmerican,5/14/12,,N/A-StillEmployed,Active,Sales,LynnDaneault,21,EmployeeReferral,FullyMeets,3,5,0,1/19/19,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chivukula,Enola",10240,0,0,0,5,5,3,0,"64,786",1,19,ProductionTechnicianI,MA,1775,8/27/83,F,Single,USCitizen,No,White,6/27/11,11/15/15,relocationoutofarea,VoluntarilyTerminated,Production       ,AmyDunn,11,Indeed,FullyMeets,4.3,4,0,3/10/15,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cierpiszewski,Caroline",10168,0,0,0,1,5,3,0,"64,816",0,19,ProductionTechnicianI,MA,2044,5/31/88,F,Single,Non-Citizen,No,BlackorAfricanAmerican,10/3/11,,N/A-StillEmployed,Active,Production       ,KetsiaLiebig,19,Indeed,FullyMeets,3.58,5,0,1/30/19,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clayton,Rick",10220,0,0,1,1,3,3,0,"68,678",0,14,ITSupport,MA,2170,9/5/85,M ,Single,USCitizen,No,White,9/5/12,,N/A-StillEmployed,Active,IT/IS,EricDougall,6,Indeed,FullyMeets,4.7,3,6,2/27/19,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cloninger,Jennifer",10275,1,1,0,5,5,3,0,"64,066",1,20,ProductionTechnicianII,MA,1752,8/31/81,F,Married,USCitizen,No,White,5/16/11,1/7/13,unhappy,VoluntarilyTerminated,Production       ,BrannonMiller,12,GoogleSearch,FullyMeets,4.2,5,0,5/3/12,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Close,Phil",10269,1,1,1,5,5,3,0,"59,369",1,20,ProductionTechnicianII,MA,2169,11/25/78,M ,Married,USCitizen,No,White,8/30/10,9/26/11,careerchange,VoluntarilyTerminated,Production       ,DavidStanley,14,Indeed,FullyMeets,4.2,4,0,5/4/11,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clukey,Elijian",10029,1,1,1,2,5,4,0,"50,373",0,19,ProductionTechnicianI,MA,2134,8/26/80,M ,Married,USCitizen,No,White,7/6/16,,N/A-StillEmployed,Active,Production       ,BrannonMiller,12,EmployeeReferral,Exceeds,4.1,4,0,2/28/19,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cockel,James",10261,0,0,1,1,5,3,0,"63,108",0,19,ProductionTechnicianI,MA,2452,9/8/77,M ,Single,USCitizen,No,White,7/8/13,,N/A-StillEmployed,Active,Production       ,DavidStanley,14,EmployeeReferral,FullyMeets,4.4,5,0,1/14/19,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cole,Spencer",10292,0,0,1,4,5,2,0,"59,144",1,19,ProductionTechnicianI,MA,1880,8/12/79,M ,Single,USCitizen,No,BlackorAfricanAmerican,7/11/11,9/23/16,performance,TerminatedforCause,Production       ,KissySullivan,20,LinkedIn,NeedsImprovement,2,3,0,5/1/16,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corleone,Michael",10282,0,2,1,1,5,2,0,"68,051",0,18,ProductionManager,MA,1803,12/17/75,M ,Divorced,USCitizen,No,White,7/20/10,,N/A-StillEmployed,Active,Production       ,JanetKing,2,CareerBuilder,NeedsImprovement,4.13,2,0,1/14/19,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corleone,Vito",10019,0,0,1,1,5,4,0,"170,500",0,10,DirectorofOperations,MA,2030,3/19/83,M ,Single,USCitizen,No,BlackorAfricanAmerican,1/5/09,,N/A-StillEmployed,Active,Production       ,JanetKing,2,Indeed,Exceeds,3.7,5,0,2/4/19,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cornett,Lisa",10094,1,1,0,1,5,3,0,"63,381",0,19,ProductionTechnicianI,MA,2189,3/31/77,F,Married,USCitizen,Yes,White,1/5/15,,N/A-StillEmployed,Active,Production       ,KelleySpirea,18,Indeed,FullyMeets,4.73,5,0,2/14/19,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Costello,Frank",10193,1,1,1,1,3,3,0,"83,552",0,9,DataAnalyst,MA,1810,8/26/86,M ,Married,USCitizen,No,White,3/30/15,,N/A-StillEmployed,Active,IT/IS,SimonRoup,4,Indeed,FullyMeets,3.04,3,6,1/22/19,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crimmings,Jean",10132,0,0,0,2,5,3,0,"56,149",0,19,ProductionTechnicianI,MA,1821,4/10/87,F,Single,USCitizen,No,White,7/6/16,,N/A-StillEmployed,Active,Production       ,MichaelAlbert,22,LinkedIn,FullyMeets,4.12,5,0,1/28/19,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cross,Noah",10083,0,0,1,1,3,3,0,"92,329",0,28,Sr.NetworkEngineer,CT,6278,9/9/65,M ,Single,USCitizen,No,White,11/10/14,,N/A-StillEmployed,Active,IT/IS,PeterMonroe,7,EmployeeReferral,FullyMeets,5,3,4,1/2/19,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daneault,Lynn",10099,0,0,0,1,6,3,0,"65,729",0,21,SalesManager,VT,5473,4/19/90,F,Single,USCitizen,No,White,5/5/14,,N/A-StillEmployed,Active,Sales,DebraHoulihan,15,Indeed,FullyMeets,4.62,4,0,1/24/19,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daniele,Ann",10212,1,1,0,3,3,3,0,"85,028",0,28,Sr.NetworkEngineer,CT,6033,1/18/52,F,Married,USCitizen,No,White,11/10/14,,N/A-StillEmployed,Active,IT/IS,PeterMonroe,7,LinkedIn,FullyMeets,3.1,5,8,2/12/19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darson,Jene'ya",10056,1,1,0,1,5,3,0,"57,583",0,19,ProductionTechnicianI,MA,2110,11/5/78,F,Married,USCitizen,No,White,7/2/12,,N/A-StillEmployed,Active,Production       ,ElijiahGray,16,Indeed,FullyMeets,5,3,0,2/25/19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis,Daniel",10143,0,0,1,1,5,3,0,"56,294",0,20,ProductionTechnicianII,MA,2458,9/14/79,M ,Single,EligibleNonCitizen,No,Twoormoreraces,11/7/11,,N/A-StillEmployed,Active,Production       ,KissySullivan,20,LinkedIn,FullyMeets,3.96,4,0,2/27/19,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dee,Randy",10311,1,1,1,1,6,1,0,"56,991",0,19,ProductionTechnicianI,MA,2138,4/15/88,M ,Married,USCitizen,No,White,7/9/18,,N/A-StillEmployed,Active,Production       ,BrannonMiller,12,Indeed,FullyMeets,4.3,4,3,1/31/19,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeGweck,James",10070,1,1,1,5,5,3,0,"55,722",1,19,ProductionTechnicianI,MA,1810,10/31/77,M ,Married,USCitizen,No,White,5/16/11,6/8/16,unhappy,VoluntarilyTerminated,Production       ,WebsterButler,39,Indeed,FullyMeets,5,4,0,4/2/16,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DelBosque,Keyla",10155,0,0,0,1,4,3,0,"101,199",0,24,SoftwareEngineer,MA,2176,7/5/79,F,Single,USCitizen,No,BlackorAfricanAmerican,1/9/12,,N/A-StillEmployed,Active,Software Engineering,AlexSweetwater,10,CareerBuilder,FullyMeets,3.79,5,5,1/25/19,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delarge,Alex",10306,0,0,1,1,6,1,0,"61,568",0,3,AreaSalesManager,AL,36006,11/2/75,M ,Single,USCitizen,No,Twoormoreraces,9/29/14,,N/A-StillEmployed,Active,Sales,JohnSmith,17,Indeed,PIP,1.93,3,0,1/30/19,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demita,Carla",10100,0,3,0,5,5,3,0,"58,275",1,20,ProductionTechnicianII,MA,2343,2/25/51,F,Separated,USCitizen,No,BlackorAfricanAmerican,4/4/11,11/4/15,moremoney,VoluntarilyTerminated,Production       ,KelleySpirea,18,GoogleSearch,FullyMeets,4.62,5,0,5/6/15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desimone,Carl",10310,1,1,1,1,5,1,0,"53,189",0,19,ProductionTechnicianI,MA,2061,4/19/67,M ,Married,USCitizen,No,White,7/7/14,,N/A-StillEmployed,Active,Production       ,AmyDunn,11,Indeed,PIP,1.12,2,0,1/31/19,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DeVito,Tommy",10197,0,0,1,1,3,3,0,"96,820",0,4,BIDeveloper,MA,2045,9/4/83,M ,Single,USCitizen,No,White,2/15/17,,N/A-StillEmployed,Active,IT/IS,BrianChampaigne,13,Indeed,FullyMeets,3.01,5,7,1/23/19,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
